RespondentID,Sex,age,age_group,max_educert,qualification_tier,currentempstatus,occupation_cj,is_underemployed
114371479755.0,Female,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371418975.0,Female,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working part-time (permanent),Technician and Associate Professionals,0
114348501336.0,Male,37.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371459625.0,Female,39.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371485332.0,Male,24.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114348587351.0,Female,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114372276835.0,Female,31.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Service and Sales Workers,1
114371468463.0,Female,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114358732019.0,Female,26.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114375775759.0,Female,37.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371448860.0,Male,36.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114359937810.0,Female,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Service and Sales Workers,1
114369575268.0,Female,34.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114371468818.0,Female,29.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114370428548.0,Male,37.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371311934.0,Male,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
